date,value
1980,28.2718
1981,28.4168
1982,28.2571
1983,29.0739
1984,28.5001
1985,28.1673
1986,27.933
1987,29.0084
1988,28.5006
1989,27.89
1990,28.3064
1991,27.8682
1992,27.7712
1993,28.233
1994,28.1342
1995,27.9082
1996,28.0985
1997,28.2761
1998,28.8198
1999,27.7912
2000,28.2073
2001,28.7074
2002,28.6548
2003,28.4916
2004,28.4832
2005,28.5832
2006,28.5605
2007,28.4337
2008,28.3354
2009,28.6416
2010,28.8036
2011,28.672
2012,28.732
2013,28.7353
2014,28.8554
2015,28.9268
2016,29.1414
2017,29.2711
2018,28.7264
2019,29.1252
2020,28.9253
2021,29.293
2022,28.4139
2023,28.8271
